timestamp,demand_mw,solar_mw,wind_mw
2015-01-12T12:00:00Z,71376.0000,2238.0000,29011.0000
2015-01-12T13:00:00Z,70197.0000,1486.0000,28920.0000
2015-01-12T14:00:00Z,69066.0000,640.0000,28964.0000
2015-01-12T15:00:00Z,69524.0000,140.0000,28393.0000
2015-01-12T16:00:00Z,71371.0000,2.0000,27912.0000
2015-01-12T17:00:00Z,71236.0000,0.0000,27768.0000
2015-01-12T18:00:00Z,69205.0000,0.0000,28101.0000
2015-01-12T19:00:00Z,64685.0000,0.0000,28060.0000
2015-01-12T20:00:00Z,61344.0000,0.0000,27659.0000
2015-01-12T21:00:00Z,58672.0000,0.0000,26143.0000
2015-01-12T22:00:00Z,54030.0000,0.0000,24408.0000
2015-01-12T23:00:00Z,50153.0000,0.0000,22772.0000
2015-01-13T00:00:00Z,48218.0000,0.0000,21349.0000
2015-01-13T01:00:00Z,47184.0000,0.0000,20290.0000
2015-01-13T02:00:00Z,47064.0000,0.0000,20158.0000
2015-01-13T03:00:00Z,48760.0000,0.0000,20926.0000
2015-01-13T04:00:00Z,51849.0000,0.0000,21995.0000
2015-01-13T05:00:00Z,59116.0000,0.0000,23468.0000
2015-01-13T06:00:00Z,66543.0000,0.0000,24427.0000
2015-01-13T07:00:00Z,68723.0000,515.0000,25374.0000
2015-01-13T08:00:00Z,68327.0000,3431.0000,25191.0000
2015-01-13T09:00:00Z,68374.0000,6927.0000,25284.0000
2015-01-13T10:00:00Z,68865.0000,9543.0000,25051.0000
2015-01-13T11:00:00Z,68469.0000,10623.0000,24225.0000
2015-01-13T12:00:00Z,67876.0000,9433.0000,22924.0000
2015-01-13T13:00:00Z,65875.0000,6589.0000,22135.0000
2015-01-13T14:00:00Z,65983.0000,2899.0000,21597.0000
2015-01-13T15:00:00Z,66634.0000,320.0000,20710.0000
2015-01-13T16:00:00Z,70119.0000,3.0000,19791.0000
2015-01-13T17:00:00Z,69850.0000,0.0000,19299.0000
2015-01-13T18:00:00Z,67174.0000,0.0000,18779.0000
2015-01-13T19:00:00Z,62622.0000,0.0000,17763.0000
2015-01-13T20:00:00Z,59175.0000,0.0000,18305.0000
2015-01-13T21:00:00Z,56499.0000,0.0000,18439.0000
2015-01-13T22:00:00Z,51949.0000,0.0000,17690.0000
2015-01-13T23:00:00Z,47556.0000,0.0000,16563.0000
2015-01-14T00:00:00Z,45320.0000,0.0000,15740.0000
2015-01-14T01:00:00Z,44513.0000,0.0000,14702.0000
2015-01-14T02:00:00Z,45026.0000,0.0000,14770.0000
2015-01-14T03:00:00Z,46695.0000,0.0000,15447.0000
2015-01-14T04:00:00Z,50345.0000,0.0000,16940.0000
2015-01-14T05:00:00Z,58474.0000,0.0000,18838.0000
2015-01-14T06:00:00Z,65984.0000,0.0000,21319.0000
2015-01-14T07:00:00Z,68576.0000,165.0000,22069.0000
2015-01-14T08:00:00Z,67873.0000,1341.0000,21945.0000
2015-01-14T09:00:00Z,68878.0000,3027.0000,21384.0000
2015-01-14T10:00:00Z,69582.0000,3712.0000,21012.0000
2015-01-14T11:00:00Z,68658.0000,3482.0000,20699.0000
2015-01-14T12:00:00Z,68577.0000,3150.0000,19065.0000
2015-01-14T13:00:00Z,67760.0000,2195.0000,16710.0000
2015-01-14T14:00:00Z,67144.0000,895.0000,14665.0000
2015-01-14T15:00:00Z,67198.0000,136.0000,14449.0000
2015-01-14T16:00:00Z,70156.0000,3.0000,14363.0000
2015-01-14T17:00:00Z,69595.0000,0.0000,14342.0000
2015-01-14T18:00:00Z,67587.0000,0.0000,14373.0000
